state,year,percent_highschool,percent_college
Alabama,1995,74.4,17.3
Alaska,1995,92.1,25.2
Arizona,1995,82.3,19.1
Arkansas,1995,76.2,14.2
California,1995,79.6,24.2
Colorado,1995,91.3,33.3
Connecticut,1995,85.6,32.7
Delaware,1995,81.4,22.9
Florida,1995,82.8,22.1
Georgia,1995,78.2,22.7
Hawaii,1995,84.1,22.6
Idaho,1995,86.4,22.1
Illinois,1995,82.3,24.6
Indiana,1995,81.6,16.9
Iowa,1995,84.7,19.7
Kansas,1995,86.5,25.8
Kentucky,1995,76.7,19.3
Louisiana,1995,75.8,20.1
Maine,1995,86.2,21.5
Maryland,1995,82,26.4
Massachusetts,1995,85.8,32.6
Michigan,1995,83.7,20.7
Minnesota,1995,88.4,26.5
Mississippi,1995,76.4,17.6
Missouri,1995,82.2,21.9
Montana,1995,84.7,22.1
Nebraska,1995,89.1,24.1
Nevada,1995,85.3,17.4
New Hampshire,1995,86.8,25.8
New Jersey,1995,85.4,27.9
New Mexico,1995,80,21.4
New York,1995,82.5,26.3
North Carolina,1995,76.3,20.6
North Dakota,1995,81.6,19.8
Ohio,1995,83.4,19.7
Oklahoma,1995,82.6,19.1
Oregon,1995,85.1,23
Pennsylvania,1995,81.4,20.5
Rhode Island,1995,78.9,27.9
South Carolina,1995,74.3,18.2
South Dakota,1995,83.7,18.9
Tennessee,1995,77.4,17.8
Texas,1995,76.2,22
Utah,1995,90.2,24
Vermont,1995,87.6,30.3
Virginia,1995,82.7,26
Washington,1995,91.4,26.5
West Virginia,1995,72.7,12.7
Wisconsin,1995,86.6,20.6
Wyoming,1995,89.3,21.2
