state,year,percent_highschool,percent_college
Alabama,2001,80.2,20.2
Alaska,2001,91.1,25.7
Arizona,2001,83.8,24.4
Arkansas,2001,80.5,18.6
California,2001,81,29.1
Colorado,2001,88.6,35.2
Connecticut,2001,87.5,32.4
Delaware,2001,84.7,28.6
Florida,2001,84.1,24.6
Georgia,2001,82.5,24.2
Hawaii,2001,89.1,27.9
Idaho,2001,87.3,21.2
Illinois,2001,86.2,26.7
Indiana,2001,84.4,21.2
Iowa,2001,87.8,23.9
Kansas,2001,87.8,27.9
Kentucky,2001,79,20.4
Louisiana,2001,81,19.7
Maine,2001,85.4,22.2
Maryland,2001,88.1,35.7
Massachusetts,2001,85.7,32.5
Michigan,2001,86.3,24
Minnesota,2001,92.6,31.4
Mississippi,2001,81.7,23.3
Missouri,2001,88.2,25.3
Montana,2001,90.2,22.8
Nebraska,2001,89.7,25.7
Nevada,2001,84.9,20.8
New Hampshire,2001,89.3,31.6
New Jersey,2001,86.6,30.7
New Mexico,2001,81.2,22
New York,2001,83.2,28.9
North Carolina,2001,80,23.1
North Dakota,2001,87,24.4
Ohio,2001,88.2,24.1
Oklahoma,2001,85.8,21.1
Oregon,2001,86.6,27.2
Pennsylvania,2001,85.9,25.8
Rhode Island,2001,78.7,27.4
South Carolina,2001,81.9,23.4
South Dakota,2001,87.7,23.6
Tennessee,2001,78.1,21
Texas,2001,78.4,23.8
Utah,2001,90,27.9
Vermont,2001,86.8,29
Virginia,2001,84.6,30.6
Washington,2001,89.9,26.9
West Virginia,2001,79.5,15.8
Wisconsin,2001,87,24.9
Wyoming,2001,90.2,19.2
