State,Year,Total_revenue,Taxes,Total_expenditure,Education,Public_welfare,Hospitals,Health
Alabama,1995,12448670,5077827,11634629,2260473,2282961,811433,474424
Alaska,1995,8365899,1922463,5599033,595146,541660,31547,86740
Arizona,1995,12593371,6223489,11162452,1483677,2031231,55212,395974
Arkansas,1995,7368193,3391785,6616119,1058742,1518301,338669,240031
California,1995,118303386,53269075,109231147,10203176,12889551,2525505,2275797
Colorado,1995,11555971,4531366,9801852,1960600,1631884,140004,193757
Connecticut,1995,13717638,7474119,13575807,1112785,2697056,941286,278885
Delaware,1995,3441210,1594818,2980188,537226,412618,56649,131800
Florida,1995,37359429,18564650,34749505,3020969,6839695,507245,1806794
Georgia,1995,20283513,9486639,19154482,3009410,4589054,615839,264225
Hawaii,1995,5777523,2874496,6014741,1645470,881643,217549,283747
Idaho,1995,3845325,1733120,3360314,509341,486332,45125,77084
Illinois,1995,34689103,16589789,32991313,3705586,8183443,783470,1154265
Indiana,1995,16259769,8045753,15284130,2883951,2813836,489102,331171
Iowa,1995,9274862,4403428,8591925,1374131,1583829,524657,111133
Kansas,1995,7374389,3765488,7116429,1066377,1206770,328782,114186
Kentucky,1995,12845822,6284623,11395067,1708810,2759957,335866,131148
Louisiana,1995,13956017,4676969,14461235,1825741,3800263,1186888,386495
Maine,1995,4207954,1812574,4179160,457785,1243290,63141,150006
Maryland,1995,16429739,8060982,15069402,1811831,2955844,306986,456904
Massachusetts,1995,24100544,11601135,24282382,1840452,5882587,750997,1257183
Michigan,1995,35909287,17723494,34825435,4441615,6080934,1463876,564310
Minnesota,1995,18288680,9327886,16369989,2238423,3394645,584501,303217
Mississippi,1995,8300728,3599244,7413908,973451,1492947,349039,156665
Missouri,1995,15586334,6751959,12482046,1486462,2865498,439136,476752
Montana,1995,3292673,1214152,2987807,447711,428421,37952,97882
Nebraska,1995,4614629,2219725,4250378,728081,906854,252084,75702
Nevada,1995,5477926,2698343,4581276,508725,590358,57967,66130
New Hampshire,1995,3269283,917945,3095874,395752,874866,42155,65487
New Jersey,1995,32675210,13606950,32605483,2903463,5819175,963848,580311
New Mexico,1995,6641793,2844484,6363127,960971,878777,302246,267297
New York,1995,90997110,34294492,81371988,5798715,16140401,3619553,1762788
North Carolina,1995,22462479,11425714,20436613,3017029,3532292,736784,307739
North Dakota,1995,2448480,958725,2212660,443885,436695,54128,28356
Ohio,1995,42517011,15186174,34769008,4273666,6762962,1195466,565824
Oklahoma,1995,9334061,4416463,8989785,1384451,1590657,286202,216928
Oregon,1995,12985916,4286038,11029980,1153659,2073094,462118,171842
Pennsylvania,1995,40444083,18262139,39394469,4646198,9779741,1506482,455351
Rhode Island,1995,4249596,1490340,4265140,447603,880754,93410,241221
South Carolina,1995,12067916,4763097,11623103,1761567,2431041,582202,557167
South Dakota,1995,2089882,694037,1879678,264463,373339,48808,57905
Tennessee,1995,12899912,5907721,13432374,2153118,3515620,499511,560042
Texas,1995,48958349,20288774,44807235,6129090,10142630,1852623,797742
Utah,1995,6324604,2675502,5780232,1216954,911393,281639,100748
Vermont,1995,2073665,801376,2013565,365481,499488,9445,48071
Virginia,1995,18992594,8783939,17040384,2993398,2495344,1041797,374968
Washington,1995,23575810,10195584,21200290,3083510,3693581,513864,781806
West Virginia,1995,6661755,2731907,6261769,822060,1576052,83702,123761
Wisconsin,1995,16826271,9029488,16301863,2173878,2772947,432693,146821
Wyoming,1995,2239881,666725,2045221,224846,248248,33556,49395
